artifact_id,path,artifact_kind,role,authority,derived_from,dimension_claim,fabrication_required,notes
SVG-001,drawings/Am.svg,svg_preview,concept,concept_only,,none,false,"Review preview only; does not release Am body bore tone-hole socket or fixture geometry."
SVG-002,drawings/Fsm.svg,svg_preview,concept,concept_only,,none,false,"Review preview only; does not release Fsm body bore tone-hole socket or fixture geometry."
SVG-003,drawings/Em.svg,svg_preview,concept,concept_only,,none,false,"Review preview only; does not release Em body bore tone-hole socket or fixture geometry."
SVG-004,drawings/Dm.svg,svg_preview,concept,concept_only,,none,false,"Review preview only; does not release Dm body bore tone-hole socket or fixture geometry."
SVG-005,drawings/assembly.svg,svg_preview,concept,concept_only,,none,false,"Assembly preview only; shop authority still requires reviewed CAD/DXF and fit checks."
SVG-006,drawings/family-overview.svg,svg_preview,concept,concept_only,,none,false,"Family overview preview only; not dimensional or acoustic authority."
DXF-INLAY-AM-001,inlay-patterns/Am/band1_chevron.dxf,dxf,finish_study,concept_only,,none,false,"Decorative inlay artwork only; not acoustic body bore tone-hole socket or fixture authority."
DXF-INLAY-AM-002,inlay-patterns/Am/band2_chevron.dxf,dxf,finish_study,concept_only,,none,false,"Decorative inlay artwork only; not acoustic body bore tone-hole socket or fixture authority."
DXF-INLAY-AM-003,inlay-patterns/Am/band3_diamond.dxf,dxf,finish_study,concept_only,,none,false,"Decorative inlay artwork only; not acoustic body bore tone-hole socket or fixture authority."
DXF-INLAY-AM-004,inlay-patterns/Am/feature_constellation.dxf,dxf,finish_study,concept_only,,none,false,"Decorative inlay artwork only; not acoustic body bore tone-hole socket or fixture authority."
DXF-INLAY-FSM-001,inlay-patterns/Fsharpm/band1_chevron.dxf,dxf,finish_study,concept_only,,none,false,"Decorative inlay artwork only; not acoustic body bore tone-hole socket or fixture authority."
DXF-INLAY-FSM-002,inlay-patterns/Fsharpm/band2_chevron.dxf,dxf,finish_study,concept_only,,none,false,"Decorative inlay artwork only; not acoustic body bore tone-hole socket or fixture authority."
DXF-INLAY-FSM-003,inlay-patterns/Fsharpm/band3_diamond.dxf,dxf,finish_study,concept_only,,none,false,"Decorative inlay artwork only; not acoustic body bore tone-hole socket or fixture authority."
DXF-INLAY-FSM-004,inlay-patterns/Fsharpm/feature_constellation.dxf,dxf,finish_study,concept_only,,none,false,"Decorative inlay artwork only; not acoustic body bore tone-hole socket or fixture authority."
DXF-INLAY-EM-001,inlay-patterns/Em/band1_chevron.dxf,dxf,finish_study,concept_only,,none,false,"Decorative inlay artwork only; not acoustic body bore tone-hole socket or fixture authority."
